Time,Protein_concentration,Activator_concentration
0.100000,0.065027,1.000000
0.200000,0.126883,1.000000
0.300000,0.185722,1.000000
0.400000,0.241692,1.000000
0.500000,0.294932,1.000000
0.600000,0.345576,1.000000
0.700000,0.393750,1.000000
0.800000,0.439575,1.000000
0.900000,0.483165,1.000000
1.000000,0.524630,1.000000
1.100000,0.564073,1.000000
1.200000,0.601591,1.000000
1.300000,0.637280,1.000000
1.400000,0.671230,1.000000
1.500000,0.703526,1.000000
1.600000,0.734247,1.000000
1.700000,0.763472,1.000000
1.800000,0.791272,1.000000
1.900000,0.817716,1.000000
2.000000,0.842868,1.000000
2.100000,0.866792,1.000000
2.200000,0.889550,1.000000
2.300000,0.911199,1.000000
2.400000,0.931793,1.000000
2.500000,0.951384,1.000000
2.600000,0.970019,1.000000
2.700000,0.987745,1.000000
2.800000,1.004603,1.000000
2.900000,1.020636,1.000000
3.000000,1.035888,1.000000
3.100000,1.050395,1.000000
3.200000,1.064195,1.000000
3.300000,1.077322,1.000000
3.400000,1.089808,1.000000
3.500000,1.101683,1.000000
3.600000,1.112980,1.000000
3.700000,1.123730,1.000000
3.800000,1.133957,1.000000
3.900000,1.143690,1.000000
4.000000,1.152950,1.000000
4.100000,1.161760,1.000000
4.200000,1.170142,1.000000
4.300000,1.178118,1.000000
4.400000,1.185708,1.000000
4.500000,1.192928,1.000000
4.600000,1.199797,1.000000
4.700000,1.206327,1.000000
4.800000,1.212534,1.000000
4.900000,1.218435,1.000000
5.000000,1.224050,1.000000
5.100000,1.229392,1.000000
5.200000,1.234475,1.000000
5.300000,1.239314,1.000000
5.400000,1.243919,1.000000
5.500000,1.248302,1.000000
5.600000,1.252473,1.000000
5.700000,1.256441,1.000000
5.800000,1.260214,1.000000
5.900000,1.263799,1.000000
6.000000,1.267204,1.000000
6.100000,1.270434,1.000000
6.200000,1.273498,1.000000
6.300000,1.276411,1.000000
6.400000,1.279182,1.000000
6.500000,1.281821,1.000000
6.600000,1.284337,1.000000
6.700000,1.286737,1.000000
6.800000,1.289031,1.000000
6.900000,1.291220,1.000000
7.000000,1.293303,1.000000
7.100000,1.295282,1.000000
7.200000,1.297159,1.000000
7.300000,1.298934,1.000000
7.400000,1.300607,1.000000
7.500000,1.302179,1.000000
7.600000,1.303666,1.000000
7.700000,1.305076,1.000000
7.800000,1.306415,1.000000
7.900000,1.307692,1.000000
8.000000,1.308914,1.000000
8.100000,1.310088,1.000000
8.200000,1.311217,1.000000
8.300000,1.312293,1.000000
8.400000,1.313317,1.000000
8.500000,1.314290,1.000000
8.600000,1.315210,1.000000
8.700000,1.316075,1.000000
8.800000,1.316885,1.000000
8.900000,1.317650,1.000000
9.000000,1.318379,1.000000
9.100000,1.319077,1.000000
9.200000,1.319752,1.000000
9.300000,1.320408,1.000000
9.400000,1.321054,1.000000
9.500000,1.321692,1.000000
9.600000,1.322307,1.000000
9.700000,1.322892,1.000000
9.800000,1.323442,1.000000
9.900000,1.323952,1.000000
10.000000,1.324413,1.000000
10.100000,1.324817,1.000000
10.200000,1.325172,1.000000
10.300000,1.325505,1.000000
10.400000,1.325826,1.000000
10.500000,1.326146,1.000000
10.600000,1.326477,1.000000
10.700000,1.326832,1.000000
10.800000,1.327225,1.000000
10.900000,1.327632,1.000000
11.000000,1.328033,1.000000
11.100000,1.328419,1.000000
11.200000,1.328779,1.000000
11.300000,1.329102,1.000000
11.400000,1.329373,1.000000
11.500000,1.329585,1.000000
11.600000,1.329765,1.000000
11.700000,1.329922,1.000000
11.800000,1.330059,1.000000
11.900000,1.330184,1.000000
12.000000,1.330304,1.000000
12.100000,1.330428,1.000000
12.200000,1.330553,1.000000
12.300000,1.330668,1.000000
12.400000,1.330775,1.000000
12.500000,1.330871,1.000000
12.600000,1.330957,1.000000
12.700000,1.331030,1.000000
12.800000,1.331090,1.000000
12.900000,1.331144,1.000000
13.000000,1.331199,1.000000
13.100000,1.331258,1.000000
13.200000,1.331326,1.000000
13.300000,1.331406,1.000000
13.400000,1.331505,1.000000
13.500000,1.331622,1.000000
13.600000,1.331741,1.000000
13.700000,1.331857,1.000000
13.800000,1.331961,1.000000
13.900000,1.332049,1.000000
14.000000,1.332110,1.000000
14.100000,1.332137,1.000000
14.200000,1.332139,1.000000
14.300000,1.332139,1.000000
14.400000,1.332145,1.000000
14.500000,1.332164,1.000000
14.600000,1.332209,1.000000
14.700000,1.332290,1.000000
14.800000,1.332418,1.000000
14.900000,1.332566,1.000000
15.000000,1.332719,1.000000
15.100000,1.332866,1.000000
15.200000,1.332999,1.000000
15.300000,1.333106,1.000000
15.400000,1.333171,1.000000
15.500000,1.333192,1.000000
15.600000,1.333195,1.000000
15.700000,1.333183,1.000000
15.800000,1.333163,1.000000
15.900000,1.333138,1.000000
16.000000,1.333117,1.000000
16.100000,1.333106,1.000000
16.200000,1.333104,1.000000
16.300000,1.333102,1.000000
16.400000,1.333103,1.000000
16.500000,1.333107,1.000000
16.600000,1.333115,1.000000
16.700000,1.333127,1.000000
16.800000,1.333143,1.000000
16.900000,1.333161,1.000000
17.000000,1.333180,1.000000
17.100000,1.333199,1.000000
17.200000,1.333215,1.000000
17.300000,1.333227,1.000000
17.400000,1.333233,1.000000
17.500000,1.333232,1.000000
17.600000,1.333231,1.000000
17.700000,1.333231,1.000000
17.800000,1.333232,1.000000
17.900000,1.333238,1.000000
18.000000,1.333249,1.000000
18.100000,1.333269,1.000000
18.200000,1.333293,1.000000
18.300000,1.333315,1.000000
18.400000,1.333335,1.000000
18.500000,1.333348,1.000000
18.600000,1.333353,1.000000
18.700000,1.333345,1.000000
18.800000,1.333324,1.000000
18.900000,1.333298,1.000000
19.000000,1.333274,1.000000
19.100000,1.333254,1.000000
19.200000,1.333243,1.000000
19.300000,1.333247,1.000000
19.400000,1.333270,1.000000
19.500000,1.333311,1.000000
19.600000,1.333358,1.000000
19.700000,1.333405,1.000000
19.800000,1.333450,1.000000
19.900000,1.333487,1.000000
20.000000,1.333512,1.000000
20.100000,1.333517,1.000000
20.200000,1.333512,1.000000
20.300000,1.333506,1.000000
20.400000,1.333500,1.000000
20.500000,1.333499,1.000000
20.600000,1.333506,1.000000
20.700000,1.333528,1.000000
20.800000,1.333566,1.000000
20.900000,1.333604,1.000000
21.000000,1.333638,1.000000
21.100000,1.333661,1.000000
21.200000,1.333669,1.000000
21.300000,1.333654,1.000000
21.400000,1.333610,1.000000
21.500000,1.333542,1.000000
21.600000,1.333473,1.000000
21.700000,1.333409,1.000000
21.800000,1.333360,1.000000
21.900000,1.333336,1.000000
22.000000,1.333348,1.000000
22.100000,1.333408,1.000000
22.200000,1.333493,1.000000
22.300000,1.333586,1.000000
22.400000,1.333680,1.000000
22.500000,1.333764,1.000000
22.600000,1.333828,1.000000
22.700000,1.333859,1.000000
22.800000,1.333850,1.000000
22.900000,1.333823,1.000000
23.000000,1.333786,1.000000
23.100000,1.333741,1.000000
23.200000,1.333693,1.000000
23.300000,1.333648,1.000000
23.400000,1.333612,1.000000
23.500000,1.333584,1.000000
23.600000,1.333555,1.000000
23.700000,1.333524,1.000000
23.800000,1.333491,1.000000
23.900000,1.333454,1.000000
