Time,Protein_concentration
0.100000,0.042268
0.200000,0.082474
0.300000,0.120719
0.400000,0.157100
0.500000,0.191706
0.600000,0.224624
0.700000,0.255937
0.800000,0.285723
0.900000,0.314057
1.000000,0.341009
1.100000,0.366646
1.200000,0.391033
1.300000,0.414232
1.400000,0.436300
1.500000,0.457291
1.600000,0.477260
1.700000,0.496255
1.800000,0.514323
1.900000,0.531509
2.000000,0.547857
2.100000,0.563408
2.200000,0.578201
2.300000,0.592273
2.400000,0.605658
2.500000,0.618390
2.600000,0.630500
2.700000,0.642019
2.800000,0.652977
2.900000,0.663400
3.000000,0.673316
3.100000,0.682748
3.200000,0.691720
3.300000,0.700254
3.400000,0.708370
3.500000,0.716090
3.600000,0.723434
3.700000,0.730420
3.800000,0.737066
3.900000,0.743387
4.000000,0.749399
4.100000,0.755117
4.200000,0.760556
4.300000,0.765731
4.400000,0.770654
4.500000,0.775339
4.600000,0.779795
4.700000,0.784034
4.800000,0.788065
4.900000,0.791898
5.000000,0.796939
5.100000,0.865459
5.200000,0.930545
5.300000,0.992455
5.400000,1.051346
5.500000,1.107361
5.600000,1.160643
5.700000,1.211331
5.800000,1.259541
5.900000,1.305401
6.000000,1.349031
6.100000,1.390534
6.200000,1.430015
6.300000,1.467570
6.400000,1.503292
6.500000,1.537272
6.600000,1.569597
6.700000,1.600345
6.800000,1.629594
6.900000,1.657414
7.000000,1.683879
7.100000,1.709054
7.200000,1.733002
7.300000,1.755780
7.400000,1.777446
7.500000,1.798056
7.600000,1.817663
7.700000,1.836312
7.800000,1.854051
7.900000,1.870925
8.000000,1.886976
8.100000,1.902245
8.200000,1.916769
8.300000,1.930583
8.400000,1.943722
8.500000,1.956221
8.600000,1.968109
8.700000,1.979418
8.800000,1.990175
8.900000,2.000407
9.000000,2.010141
9.100000,2.019401
9.200000,2.028208
9.300000,2.036585
9.400000,2.044553
9.500000,2.052133
9.600000,2.059344
9.700000,2.066203
9.800000,2.072728
9.900000,2.078935
10.000000,2.084826
10.100000,2.036103
10.200000,1.979069
10.300000,1.924817
10.400000,1.873213
10.500000,1.824126
10.600000,1.777436
10.700000,1.733033
10.800000,1.690802
10.900000,1.650629
11.000000,1.612400
11.100000,1.576043
11.200000,1.541471
11.300000,1.508586
11.400000,1.477294
11.500000,1.447518
11.600000,1.419205
11.700000,1.392279
11.800000,1.366664
11.900000,1.342286
12.000000,1.319100
12.100000,1.297051
12.200000,1.276080
12.300000,1.256125
12.400000,1.237135
12.500000,1.219078
12.600000,1.201905
12.700000,1.185569
12.800000,1.170021
12.900000,1.155232
13.000000,1.141169
13.100000,1.127793
13.200000,1.115066
13.300000,1.102954
13.400000,1.091437
13.500000,1.080484
13.600000,1.070065
13.700000,1.060148
13.800000,1.050716
13.900000,1.041746
14.000000,1.033215
14.100000,1.025098
14.200000,1.017373
14.300000,1.010027
14.400000,1.003041
14.500000,0.996395
14.600000,0.990071
14.700000,0.984053
14.800000,0.978328
14.900000,0.972882
15.000000,0.968350
15.100000,1.028324
15.200000,1.085481
15.300000,1.139851
15.400000,1.191568
15.500000,1.240748
15.600000,1.287528
15.700000,1.332028
15.800000,1.374355
15.900000,1.414618
16.000000,1.452919
16.100000,1.489350
16.200000,1.524007
16.300000,1.556972
16.400000,1.588329
16.500000,1.618161
16.600000,1.646538
16.700000,1.673532
16.800000,1.699210
16.900000,1.723635
17.000000,1.746868
17.100000,1.768970
17.200000,1.789994
17.300000,1.809993
17.400000,1.829015
17.500000,1.847110
17.600000,1.864323
17.700000,1.880697
17.800000,1.896273
17.900000,1.911087
18.000000,1.925179
18.100000,1.938584
18.200000,1.951336
18.300000,1.963466
18.400000,1.975002
18.500000,1.985977
18.600000,1.996417
18.700000,2.006348
18.800000,2.015794
18.900000,2.024778
19.000000,2.033324
19.100000,2.041452
19.200000,2.049184
19.300000,2.056539
19.400000,2.063535
19.500000,2.070189
19.600000,2.076520
19.700000,2.082542
19.800000,2.088271
19.900000,2.093720
20.000000,2.098108
20.100000,2.039406
20.200000,1.982260
20.300000,1.927853
20.400000,1.876099
20.500000,1.826870
20.600000,1.780048
20.700000,1.735515
20.800000,1.693151
20.900000,1.652847
21.000000,1.614518
21.100000,1.578065
21.200000,1.543384
21.300000,1.510384
21.400000,1.479001
21.500000,1.449154
21.600000,1.420760
21.700000,1.393742
21.800000,1.368048
21.900000,1.343611
22.000000,1.320363
22.100000,1.298241
22.200000,1.277202
22.300000,1.257192
22.400000,1.238156
22.500000,1.220042
22.600000,1.202815
22.700000,1.186431
22.800000,1.170845
22.900000,1.156013
23.000000,1.141907
23.100000,1.128492
23.200000,1.115730
23.300000,1.103585
23.400000,1.092035
23.500000,1.081051
23.600000,1.070601
23.700000,1.060657
23.800000,1.051200
23.900000,1.042206
24.000000,1.033649
24.100000,1.025507
24.200000,1.017764
24.300000,1.010399
24.400000,1.003393
24.500000,0.996726
24.600000,0.990386
24.700000,0.984356
24.800000,0.978619
24.900000,0.973160
25.000000,0.967969
25.100000,1.027682
25.200000,1.084872
25.300000,1.139256
25.400000,1.190989
25.500000,1.240197
25.600000,1.287006
25.700000,1.331528
25.800000,1.373879
25.900000,1.414167
26.000000,1.452486
26.100000,1.488938
26.200000,1.523618
26.300000,1.556607
26.400000,1.587989
26.500000,1.617840
26.600000,1.646233
26.700000,1.673242
26.800000,1.698934
26.900000,1.723375
27.000000,1.746624
27.100000,1.768738
27.200000,1.789772
27.300000,1.809782
27.400000,1.828818
27.500000,1.846925
27.600000,1.864147
27.700000,1.880528
27.800000,1.896111
27.900000,1.910936
28.000000,1.925037
28.100000,1.938449
28.200000,1.951206
28.300000,1.963342
28.400000,1.974887
28.500000,1.985868
28.600000,1.996313
28.700000,2.006248
28.800000,2.015699
28.900000,2.024689
29.000000,2.033242
29.100000,2.041376
29.200000,2.049112
29.300000,2.056473
29.400000,2.063474
29.500000,2.070134
29.600000,2.076469
29.700000,2.082494
29.800000,2.088225
29.900000,2.093676
30.000000,2.098641
30.100000,2.046182
30.200000,1.988656
30.300000,1.933936
30.400000,1.881888
30.500000,1.832379
30.600000,1.785285
30.700000,1.740499
30.800000,1.697903
30.900000,1.657382
31.000000,1.618824
31.100000,1.582154
31.200000,1.547283
31.300000,1.514113
31.400000,1.482547
31.500000,1.452517
31.600000,1.423961
31.700000,1.396802
31.800000,1.370963
31.900000,1.346374
32.000000,1.322990
32.100000,1.300752
32.200000,1.279598
32.300000,1.259467
32.400000,1.240316
32.500000,1.222105
32.600000,1.204784
32.700000,1.188304
32.800000,1.172621
32.900000,1.157707
33.000000,1.143524
33.100000,1.130032
33.200000,1.117191
33.300000,1.104978
33.400000,1.093363
33.500000,1.082316
33.600000,1.071804
33.700000,1.061802
33.800000,1.052290
33.900000,1.043245
34.000000,1.034639
34.100000,1.026449
34.200000,1.018660
34.300000,1.011252
34.400000,1.004206
34.500000,0.997502
34.600000,0.991122
34.700000,0.985056
34.800000,0.979287
34.900000,0.973798
35.000000,0.969520
35.100000,1.029589
35.200000,1.086687
35.300000,1.140997
35.400000,1.192643
35.500000,1.241772
35.600000,1.288503
35.700000,1.332956
35.800000,1.375237
35.900000,1.415456
36.000000,1.453716
36.100000,1.490106
36.200000,1.524723
36.300000,1.557657
36.400000,1.588986
36.500000,1.618789
36.600000,1.647138
36.700000,1.674103
36.800000,1.699752
36.900000,1.724151
37.000000,1.747362
37.100000,1.769441
37.200000,1.790443
37.300000,1.810418
37.400000,1.829421
37.500000,1.847498
37.600000,1.864694
37.700000,1.881050
37.800000,1.896607
37.900000,1.911406
38.000000,1.925484
38.100000,1.938875
38.200000,1.951613
38.300000,1.963728
38.400000,1.975253
38.500000,1.986217
38.600000,1.996646
38.700000,2.006565
38.800000,2.016000
38.900000,2.024975
39.000000,2.033513
39.100000,2.041635
39.200000,2.049360
39.300000,2.056707
39.400000,2.063697
39.500000,2.070346
39.600000,2.076671
39.700000,2.082687
39.800000,2.088409
39.900000,2.093851
40.000000,2.099016
40.100000,2.043709
40.200000,1.986302
40.300000,1.931697
40.400000,1.879756
40.500000,1.830353
40.600000,1.783371
40.700000,1.738688
40.800000,1.696182
40.900000,1.655732
41.000000,1.617263
41.100000,1.580684
41.200000,1.545892
41.300000,1.512788
41.400000,1.481281
41.500000,1.451321
41.600000,1.422831
41.700000,1.395732
41.800000,1.369945
41.900000,1.345408
42.000000,1.322077
42.100000,1.299890
42.200000,1.278782
42.300000,1.258692
42.400000,1.239581
42.500000,1.221409
42.600000,1.204126
42.700000,1.187682
42.800000,1.172031
42.900000,1.157146
43.000000,1.142993
43.100000,1.129530
43.200000,1.116719
43.300000,1.104528
43.400000,1.092935
