Time,Protein_concentration,Repressor_concentration
0.100000,0.042268,1.000000
0.200000,0.082474,1.000000
0.300000,0.120719,1.000000
0.400000,0.157100,1.000000
0.500000,0.191706,1.000000
0.600000,0.224624,1.000000
0.700000,0.255937,1.000000
0.800000,0.285723,1.000000
0.900000,0.314057,1.000000
1.000000,0.341010,1.000000
1.100000,0.366647,1.000000
1.200000,0.391034,1.000000
1.300000,0.414232,1.000000
1.400000,0.436299,1.000000
1.500000,0.457292,1.000000
1.600000,0.477261,1.000000
1.700000,0.496257,1.000000
1.800000,0.514327,1.000000
1.900000,0.531516,1.000000
2.000000,0.547865,1.000000
2.100000,0.563415,1.000000
2.200000,0.578208,1.000000
2.300000,0.592280,1.000000
2.400000,0.605666,1.000000
2.500000,0.618400,1.000000
2.600000,0.630513,1.000000
2.700000,0.642035,1.000000
2.800000,0.652994,1.000000
2.900000,0.663416,1.000000
3.000000,0.673329,1.000000
3.100000,0.682759,1.000000
3.200000,0.691729,1.000000
3.300000,0.700261,1.000000
3.400000,0.708377,1.000000
3.500000,0.716096,1.000000
3.600000,0.723439,1.000000
3.700000,0.730425,1.000000
3.800000,0.737072,1.000000
3.900000,0.743398,1.000000
4.000000,0.749416,1.000000
4.100000,0.755143,1.000000
4.200000,0.760591,1.000000
4.300000,0.765775,1.000000
4.400000,0.770707,1.000000
4.500000,0.775401,1.000000
4.600000,0.779866,1.000000
4.700000,0.784111,1.000000
4.800000,0.788147,1.000000
4.900000,0.791983,1.000000
5.000000,0.795632,1.000000
5.100000,0.799104,1.000000
5.200000,0.802408,1.000000
5.300000,0.805552,1.000000
5.400000,0.808545,1.000000
5.500000,0.811394,1.000000
5.600000,0.814105,1.000000
5.700000,0.816684,1.000000
5.800000,0.819137,1.000000
5.900000,0.821468,1.000000
6.000000,0.823683,1.000000
6.100000,0.825785,1.000000
6.200000,0.827777,1.000000
6.300000,0.829671,1.000000
6.400000,0.831471,1.000000
6.500000,0.833186,1.000000
6.600000,0.834819,1.000000
6.700000,0.836378,1.000000
6.800000,0.837866,1.000000
6.900000,0.839289,1.000000
7.000000,0.840643,1.000000
7.100000,0.841930,1.000000
7.200000,0.843152,1.000000
7.300000,0.844308,1.000000
7.400000,0.845400,1.000000
7.500000,0.846426,1.000000
7.600000,0.847393,1.000000
7.700000,0.848309,1.000000
7.800000,0.849180,1.000000
7.900000,0.850008,1.000000
8.000000,0.850800,1.000000
8.100000,0.851559,1.000000
8.200000,0.852290,1.000000
8.300000,0.852990,1.000000
8.400000,0.853655,1.000000
8.500000,0.854288,1.000000
8.600000,0.854888,1.000000
8.700000,0.855453,1.000000
8.800000,0.855983,1.000000
8.900000,0.856480,1.000000
9.000000,0.856952,1.000000
9.100000,0.857404,1.000000
9.200000,0.857839,1.000000
9.300000,0.858262,1.000000
9.400000,0.858675,1.000000
9.500000,0.859085,1.000000
9.600000,0.859485,1.000000
9.700000,0.859866,1.000000
9.800000,0.860227,1.000000
9.900000,0.860563,1.000000
10.000000,0.860870,1.000000
10.100000,0.861143,1.000000
10.200000,0.861378,1.000000
10.300000,0.861595,1.000000
10.400000,0.861800,1.000000
10.500000,0.862002,1.000000
10.600000,0.862208,1.000000
10.700000,0.862426,1.000000
10.800000,0.862667,1.000000
10.900000,0.862927,1.000000
11.000000,0.863187,1.000000
11.100000,0.863440,1.000000
11.200000,0.863680,1.000000
11.300000,0.863899,1.000000
11.400000,0.864088,1.000000
11.500000,0.864238,1.000000
11.600000,0.864360,1.000000
11.700000,0.864466,1.000000
11.800000,0.864557,1.000000
11.900000,0.864639,1.000000
12.000000,0.864714,1.000000
12.100000,0.864790,1.000000
12.200000,0.864870,1.000000
12.300000,0.864945,1.000000
12.400000,0.865015,1.000000
12.500000,0.865078,1.000000
12.600000,0.865135,1.000000
12.700000,0.865184,1.000000
12.800000,0.865225,1.000000
12.900000,0.865259,1.000000
13.000000,0.865293,1.000000
13.100000,0.865327,1.000000
13.200000,0.865366,1.000000
13.300000,0.865413,1.000000
13.400000,0.865469,1.000000
13.500000,0.865540,1.000000
13.600000,0.865616,1.000000
13.700000,0.865692,1.000000
13.800000,0.865763,1.000000
13.900000,0.865826,1.000000
14.000000,0.865874,1.000000
14.100000,0.865902,1.000000
14.200000,0.865908,1.000000
14.300000,0.865906,1.000000
14.400000,0.865906,1.000000
14.500000,0.865912,1.000000
14.600000,0.865931,1.000000
14.700000,0.865970,1.000000
14.800000,0.866037,1.000000
14.900000,0.866130,1.000000
15.000000,0.866228,1.000000
15.100000,0.866327,1.000000
15.200000,0.866420,1.000000
15.300000,0.866500,1.000000
15.400000,0.866558,1.000000
15.500000,0.866585,1.000000
15.600000,0.866592,1.000000
15.700000,0.866588,1.000000
15.800000,0.866576,1.000000
15.900000,0.866560,1.000000
16.000000,0.866544,1.000000
16.100000,0.866532,1.000000
16.200000,0.866528,1.000000
16.300000,0.866525,1.000000
16.400000,0.866525,1.000000
16.500000,0.866526,1.000000
16.600000,0.866529,1.000000
16.700000,0.866535,1.000000
16.800000,0.866543,1.000000
16.900000,0.866554,1.000000
17.000000,0.866566,1.000000
17.100000,0.866578,1.000000
17.200000,0.866590,1.000000
17.300000,0.866599,1.000000
17.400000,0.866605,1.000000
17.500000,0.866607,1.000000
17.600000,0.866605,1.000000
17.700000,0.866604,1.000000
17.800000,0.866604,1.000000
17.900000,0.866606,1.000000
18.000000,0.866611,1.000000
18.100000,0.866620,1.000000
18.200000,0.866635,1.000000
18.300000,0.866650,1.000000
18.400000,0.866665,1.000000
18.500000,0.866676,1.000000
18.600000,0.866683,1.000000
18.700000,0.866683,1.000000
18.800000,0.866673,1.000000
18.900000,0.866657,1.000000
19.000000,0.866640,1.000000
19.100000,0.866624,1.000000
19.200000,0.866613,1.000000
19.300000,0.866609,1.000000
19.400000,0.866616,1.000000
19.500000,0.866637,1.000000
19.600000,0.866666,1.000000
19.700000,0.866697,1.000000
19.800000,0.866729,1.000000
19.900000,0.866757,1.000000
20.000000,0.866779,1.000000
20.100000,0.866791,1.000000
20.200000,0.866791,1.000000
20.300000,0.866787,1.000000
20.400000,0.866782,1.000000
20.500000,0.866779,1.000000
20.600000,0.866780,1.000000
20.700000,0.866788,1.000000
20.800000,0.866806,1.000000
20.900000,0.866833,1.000000
21.000000,0.866858,1.000000
21.100000,0.866878,1.000000
21.200000,0.866891,1.000000
21.300000,0.866891,1.000000
21.400000,0.866875,1.000000
21.500000,0.866838,1.000000
21.600000,0.866792,1.000000
21.700000,0.866746,1.000000
21.800000,0.866706,1.000000
21.900000,0.866678,1.000000
22.000000,0.866668,1.000000
22.100000,0.866686,1.000000
22.200000,0.866734,1.000000
22.300000,0.866794,1.000000
22.400000,0.866857,1.000000
22.500000,0.866919,1.000000
22.600000,0.866972,1.000000
22.700000,0.867009,1.000000
22.800000,0.867021,1.000000
22.900000,0.867010,1.000000
23.000000,0.866990,1.000000
23.100000,0.866963,1.000000
23.200000,0.866931,1.000000
23.300000,0.866899,1.000000
23.400000,0.866870,1.000000
23.500000,0.866849,1.000000
23.600000,0.866830,1.000000
23.700000,0.866810,1.000000
23.800000,0.866789,1.000000
23.900000,0.866766,1.000000
24.000000,0.866740,1.000000
24.100000,0.866712,1.000000
24.200000,0.866680,1.000000
24.300000,0.866649,1.000000
24.400000,0.866623,1.000000
24.500000,0.866601,1.000000
24.600000,0.866588,1.000000
24.700000,0.866585,1.000000
24.800000,0.866594,1.000000
24.900000,0.866614,1.000000
25.000000,0.866636,1.000000
25.100000,0.866656,1.000000
25.200000,0.866673,1.000000
25.300000,0.866681,1.000000
25.400000,0.866676,1.000000
25.500000,0.866653,1.000000
25.600000,0.866624,1.000000
25.700000,0.866595,1.000000
25.800000,0.866572,1.000000
25.900000,0.866559,1.000000
26.000000,0.866561,1.000000
26.100000,0.866587,1.000000
26.200000,0.866636,1.000000
26.300000,0.866689,1.000000
26.400000,0.866739,1.000000
26.500000,0.866777,1.000000
26.600000,0.866797,1.000000
26.700000,0.866789,1.000000
26.800000,0.866743,1.000000
26.900000,0.866668,1.000000
27.000000,0.866596,1.000000
27.100000,0.866535,1.000000
27.200000,0.866498,1.000000
27.300000,0.866497,1.000000
27.400000,0.866516,1.000000
27.500000,0.866544,1.000000
27.600000,0.866572,1.000000
27.700000,0.866590,1.000000
27.800000,0.866594,1.000000
27.900000,0.866593,1.000000
28.000000,0.866590,1.000000
28.100000,0.866588,1.000000
28.200000,0.866588,1.000000
28.300000,0.866591,1.000000
28.400000,0.866593,1.000000
28.500000,0.866596,1.000000
28.600000,0.866599,1.000000
28.700000,0.866603,1.000000
28.800000,0.866607,1.000000
28.900000,0.866611,1.000000
29.000000,0.866614,1.000000
29.100000,0.866617,1.000000
29.200000,0.866620,1.000000
29.300000,0.866622,1.000000
29.400000,0.866624,1.000000
29.500000,0.866625,1.000000
29.600000,0.866627,1.000000
29.700000,0.866628,1.000000
29.800000,0.866629,1.000000
29.900000,0.866631,1.000000
30.000000,0.866632,1.000000
30.100000,0.866634,1.000000
30.200000,0.866635,1.000000
30.300000,0.866637,1.000000
30.400000,0.866638,1.000000
30.500000,0.866640,1.000000
30.600000,0.866641,1.000000
30.700000,0.866642,1.000000
30.800000,0.866644,1.000000
30.900000,0.866645,1.000000
31.000000,0.866646,1.000000
31.100000,0.866647,1.000000
31.200000,0.866648,1.000000
31.300000,0.866649,1.000000
31.400000,0.866650,1.000000
31.500000,0.866651,1.000000
31.600000,0.866651,1.000000
31.700000,0.866652,1.000000
31.800000,0.866653,1.000000
31.900000,0.866653,1.000000
32.000000,0.866654,1.000000
32.100000,0.866655,1.000000
32.200000,0.866655,1.000000
32.300000,0.866656,1.000000
32.400000,0.866656,1.000000
32.500000,0.866657,1.000000
32.600000,0.866657,1.000000
32.700000,0.866658,1.000000
32.800000,0.866658,1.000000
32.900000,0.866658,1.000000
33.000000,0.866659,1.000000
33.100000,0.866659,1.000000
33.200000,0.866660,1.000000
33.300000,0.866660,1.000000
33.400000,0.866660,1.000000
33.500000,0.866661,1.000000
33.600000,0.866661,1.000000
33.700000,0.866661,1.000000
33.800000,0.866661,1.000000
33.900000,0.866662,1.000000
34.000000,0.866662,1.000000
34.100000,0.866662,1.000000
34.200000,0.866662,1.000000
34.300000,0.866662,1.000000
34.400000,0.866662,1.000000
34.500000,0.866662,1.000000
34.600000,0.866662,1.000000
34.700000,0.866663,1.000000
34.800000,0.866663,1.000000
34.900000,0.866663,1.000000
35.000000,0.866663,1.000000
35.100000,0.866663,1.000000
35.200000,0.866663,1.000000
35.300000,0.866663,1.000000
35.400000,0.866663,1.000000
35.500000,0.866663,1.000000
35.600000,0.866663,1.000000
35.700000,0.866662,1.000000
35.800000,0.866662,1.000000
35.900000,0.866662,1.000000
36.000000,0.866662,1.000000
36.100000,0.866662,1.000000
36.200000,0.866662,1.000000
36.300000,0.866662,1.000000
36.400000,0.866662,1.000000
36.500000,0.866662,1.000000
36.600000,0.866661,1.000000
36.700000,0.866661,1.000000
36.800000,0.866661,1.000000
