Time,Protein_concentration
0.100000,0.097541
0.200000,0.190325
0.300000,0.278584
0.400000,0.362538
0.500000,0.442398
0.600000,0.518364
0.700000,0.590625
0.800000,0.659362
0.900000,0.724748
1.000000,0.786944
1.100000,0.846106
1.200000,0.902385
1.300000,0.955920
1.400000,1.006846
1.500000,1.055288
1.600000,1.101370
1.700000,1.145204
1.800000,1.186897
1.900000,1.226557
2.000000,1.264283
2.100000,1.300171
2.200000,1.334308
2.300000,1.366781
2.400000,1.397670
2.500000,1.427050
2.600000,1.454995
2.700000,1.481578
2.800000,1.506864
2.900000,1.530917
3.000000,1.553796
3.100000,1.575557
3.200000,1.596258
3.300000,1.615952
3.400000,1.634689
3.500000,1.652515
3.600000,1.669474
3.700000,1.685606
3.800000,1.700955
3.900000,1.715557
4.000000,1.729448
4.100000,1.742660
4.200000,1.755221
4.300000,1.767167
4.400000,1.778532
4.500000,1.789344
4.600000,1.799631
4.700000,1.809419
4.800000,1.818731
4.900000,1.827591
5.000000,1.836019
5.100000,1.844034
5.200000,1.851654
5.300000,1.858895
5.400000,1.865775
5.500000,1.872317
5.600000,1.878537
5.700000,1.884453
5.800000,1.890080
5.900000,1.895432
6.000000,1.900525
6.100000,1.905370
6.200000,1.909981
6.300000,1.914369
6.400000,1.918544
6.500000,1.922518
6.600000,1.926299
6.700000,1.929895
6.800000,1.933315
6.900000,1.936566
7.000000,1.939660
7.100000,1.942605
7.200000,1.945409
7.300000,1.948077
7.400000,1.950617
7.500000,1.953033
7.600000,1.955332
7.700000,1.957517
7.800000,1.959593
7.900000,1.961564
8.000000,1.963433
8.100000,1.965202
8.200000,1.966880
8.300000,1.968475
8.400000,1.969992
8.500000,1.971435
8.600000,1.972808
8.700000,1.974114
8.800000,1.975356
8.900000,1.976537
9.000000,1.977660
9.100000,1.978727
9.200000,1.979741
9.300000,1.980702
9.400000,1.981614
9.500000,1.982481
9.600000,1.983307
9.700000,1.984095
9.800000,1.984846
9.900000,1.985562
10.000000,1.986245
10.100000,1.986897
10.200000,1.987519
10.300000,1.988112
10.400000,1.988677
10.500000,1.989215
10.600000,1.989727
10.700000,1.990215
10.800000,1.990681
10.900000,1.991129
11.000000,1.991558
11.100000,1.991970
11.200000,1.992366
11.300000,1.992747
11.400000,1.993114
11.500000,1.993467
11.600000,1.993807
11.700000,1.994134
11.800000,1.994449
11.900000,1.994753
12.000000,1.995045
12.100000,1.995325
12.200000,1.995594
12.300000,1.995850
12.400000,1.996094
12.500000,1.996325
12.600000,1.996543
12.700000,1.996747
12.800000,1.996937
12.900000,1.997112
13.000000,1.997271
13.100000,1.997413
13.200000,1.997538
13.300000,1.997650
13.400000,1.997752
13.500000,1.997845
13.600000,1.997930
13.700000,1.998007
13.800000,1.998078
13.900000,1.998144
14.000000,1.998205
14.100000,1.998262
14.200000,1.998318
14.300000,1.998372
14.400000,1.998426
14.500000,1.998481
14.600000,1.998533
14.700000,1.998582
14.800000,1.998628
14.900000,1.998671
15.000000,1.998711
15.100000,1.998748
15.200000,1.998781
15.300000,1.998812
15.400000,1.998838
15.500000,1.998860
15.600000,1.998878
15.700000,1.998892
15.800000,1.998902
15.900000,1.998913
16.000000,1.998925
16.100000,1.998940
16.200000,1.998957
16.300000,1.998978
16.400000,1.999003
16.500000,1.999035
16.600000,1.999073
16.700000,1.999119
16.800000,1.999174
16.900000,1.999240
17.000000,1.999316
17.100000,1.999398
17.200000,1.999482
17.300000,1.999567
17.400000,1.999653
17.500000,1.999737
17.600000,1.999819
17.700000,1.999896
17.800000,1.999968
17.900000,2.000033
18.000000,2.000088
18.100000,2.000131
18.200000,2.000161
18.300000,2.000178
18.400000,2.000188
18.500000,2.000191
18.600000,2.000190
18.700000,2.000182
18.800000,2.000170
18.900000,2.000153
19.000000,2.000133
19.100000,2.000109
19.200000,2.000082
19.300000,2.000054
19.400000,2.000025
19.500000,1.999996
19.600000,1.999966
19.700000,1.999935
19.800000,1.999904
19.900000,1.999872
20.000000,1.999841
20.100000,1.999810
20.200000,1.999781
20.300000,1.999754
20.400000,1.999729
20.500000,1.999707
20.600000,1.999690
20.700000,1.999676
20.800000,1.999668
20.900000,1.999662
21.000000,1.999658
21.100000,1.999656
21.200000,1.999654
21.300000,1.999652
21.400000,1.999651
21.500000,1.999649
21.600000,1.999647
21.700000,1.999643
21.800000,1.999637
21.900000,1.999628
22.000000,1.999616
22.100000,1.999601
22.200000,1.999587
22.300000,1.999575
22.400000,1.999566
22.500000,1.999561
22.600000,1.999560
22.700000,1.999564
22.800000,1.999575
22.900000,1.999592
23.000000,1.999618
23.100000,1.999653
23.200000,1.999698
23.300000,1.999755
23.400000,1.999820
23.500000,1.999888
23.600000,1.999958
23.700000,2.000029
23.800000,2.000099
23.900000,2.000167
24.000000,2.000231
24.100000,2.000291
24.200000,2.000344
24.300000,2.000388
24.400000,2.000422
24.500000,2.000444
24.600000,2.000451
24.700000,2.000449
24.800000,2.000442
24.900000,2.000429
25.000000,2.000411
25.100000,2.000389
25.200000,2.000362
25.300000,2.000331
25.400000,2.000298
25.500000,2.000262
25.600000,2.000225
25.700000,2.000187
25.800000,2.000150
25.900000,2.000114
26.000000,2.000078
26.100000,2.000040
26.200000,2.000002
26.300000,1.999965
26.400000,1.999928
26.500000,1.999892
26.600000,1.999858
26.700000,1.999826
26.800000,1.999797
26.900000,1.999770
27.000000,1.999747
27.100000,1.999729
27.200000,1.999714
27.300000,1.999700
27.400000,1.999689
27.500000,1.999680
27.600000,1.999672
27.700000,1.999665
27.800000,1.999659
27.900000,1.999654
28.000000,1.999650
28.100000,1.999646
28.200000,1.999641
28.300000,1.999636
28.400000,1.999630
28.500000,1.999624
28.600000,1.999621
28.700000,1.999619
28.800000,1.999620
28.900000,1.999624
29.000000,1.999631
29.100000,1.999641
29.200000,1.999655
29.300000,1.999673
29.400000,1.999696
29.500000,1.999724
29.600000,1.999757
29.700000,1.999795
29.800000,1.999834
29.900000,1.999872
30.000000,1.999908
30.100000,1.999942
30.200000,1.999971
30.300000,1.999995
30.400000,2.000012
30.500000,2.000021
30.600000,2.000020
30.700000,2.000008
30.800000,1.999984
30.900000,1.999945
31.000000,1.999895
31.100000,1.999840
31.200000,1.999783
31.300000,1.999723
31.400000,1.999663
31.500000,1.999603
31.600000,1.999546
31.700000,1.999493
31.800000,1.999445
31.900000,1.999405
32.000000,1.999375
32.100000,1.999357
32.200000,1.999353
32.300000,1.999358
32.400000,1.999367
32.500000,1.999382
32.600000,1.999402
32.700000,1.999427
32.800000,1.999456
32.900000,1.999489
33.000000,1.999525
33.100000,1.999565
33.200000,1.999607
33.300000,1.999650
33.400000,1.999694
33.500000,1.999739
33.600000,1.999785
33.700000,1.999831
33.800000,1.999876
33.900000,1.999921
34.000000,1.999965
34.100000,2.000006
34.200000,2.000044
34.300000,2.000078
34.400000,2.000108
34.500000,2.000133
34.600000,2.000151
34.700000,2.000162
34.800000,2.000166
34.900000,2.000167
35.000000,2.000165
35.100000,2.000160
35.200000,2.000152
35.300000,2.000141
35.400000,2.000128
35.500000,2.000113
35.600000,2.000097
35.700000,2.000080
35.800000,2.000064
35.900000,2.000047
36.000000,2.000032
36.100000,2.000016
36.200000,2.000000
36.300000,1.999983
36.400000,1.999966
36.500000,1.999948
36.600000,1.999931
36.700000,1.999913
36.800000,1.999896
36.900000,1.999879
37.000000,1.999863
37.100000,1.999847
37.200000,1.999833
37.300000,1.999819
37.400000,1.999806
37.500000,1.999795
37.600000,1.999785
37.700000,1.999776
37.800000,1.999769
37.900000,1.999764
38.000000,1.999761
