Time,mRNA_concentration,Protein_concentration
0.100000,0.097541,0.004836
0.200000,0.190325,0.018715
0.300000,0.278584,0.040743
0.400000,0.362539,0.070092
0.500000,0.442398,0.105996
0.600000,0.518364,0.147745
0.700000,0.590624,0.194684
0.800000,0.659360,0.246208
0.900000,0.724744,0.301757
1.000000,0.786939,0.360817
1.100000,0.846100,0.422912
1.200000,0.902377,0.487607
1.300000,0.955908,0.554500
1.400000,1.006829,0.623223
1.500000,1.055266,0.693438
1.600000,1.101341,0.764835
1.700000,1.145169,0.837134
1.800000,1.186859,0.910077
1.900000,1.226516,0.983426
2.000000,1.264239,1.056971
2.100000,1.300121,1.130519
2.200000,1.334254,1.203892
2.300000,1.366723,1.276933
2.400000,1.397607,1.349501
2.500000,1.426986,1.421468
2.600000,1.454931,1.492719
2.700000,1.481514,1.563153
2.800000,1.506800,1.632681
2.900000,1.530853,1.701223
3.000000,1.553734,1.768710
3.100000,1.575498,1.835081
3.200000,1.596200,1.900285
3.300000,1.615893,1.964278
3.400000,1.634625,2.027023
3.500000,1.652444,2.088490
3.600000,1.669393,2.148655
3.700000,1.685515,2.207497
3.800000,1.700852,2.265003
3.900000,1.715440,2.321162
4.000000,1.729318,2.375970
4.100000,1.742519,2.429426
4.200000,1.755077,2.481531
4.300000,1.767023,2.532289
4.400000,1.778387,2.581707
4.500000,1.789197,2.629795
4.600000,1.799479,2.676566
4.700000,1.809258,2.722036
4.800000,1.818559,2.766218
4.900000,1.827407,2.809131
5.000000,1.835823,2.850791
5.100000,1.843830,2.891221
5.200000,1.851449,2.930439
5.300000,1.858698,2.968470
5.400000,1.865595,3.005335
5.500000,1.872156,3.041057
5.600000,1.878397,3.075660
5.700000,1.884331,3.109170
5.800000,1.889971,3.141612
5.900000,1.895329,3.173011
6.000000,1.900424,3.203390
6.100000,1.905270,3.232773
6.200000,1.909882,3.261184
6.300000,1.914274,3.288647
6.400000,1.918463,3.315184
6.500000,1.922460,3.340821
6.600000,1.926267,3.365583
6.700000,1.929894,3.389498
6.800000,1.933343,3.412590
6.900000,1.936618,3.434886
7.000000,1.939718,3.456415
7.100000,1.942657,3.477195
7.200000,1.945448,3.497246
7.300000,1.948103,3.516588
7.400000,1.950635,3.535238
7.500000,1.953062,3.553212
7.600000,1.955399,3.570526
7.700000,1.957635,3.587208
7.800000,1.959764,3.603281
7.900000,1.961780,3.618771
8.000000,1.963671,3.633703
8.100000,1.965418,3.648106
8.200000,1.967013,3.662004
8.300000,1.968493,3.675396
8.400000,1.969875,3.688294
8.500000,1.971182,3.700702
8.600000,1.972450,3.712622
8.700000,1.973725,3.724047
8.800000,1.975008,3.734994
8.900000,1.976254,3.745503
9.000000,1.977449,3.755597
9.100000,1.978561,3.765309
9.200000,1.979543,3.774680
9.300000,1.980334,3.783760
9.400000,1.980999,3.792526
9.500000,1.981616,3.800954
9.600000,1.982246,3.809025
9.700000,1.982980,3.816705
9.800000,1.983841,3.823999
9.900000,1.984750,3.830968
10.000000,1.985661,3.837658
10.100000,1.986495,3.844134
10.200000,1.987174,3.850458
10.300000,1.987784,3.856596
10.400000,1.988364,3.862539
10.500000,1.988985,3.868258
10.600000,1.989746,3.873705
10.700000,1.990559,3.878907
10.800000,1.991326,3.883884
10.900000,1.991931,3.888651
11.000000,1.992193,3.893236
11.100000,1.992163,3.897641
11.200000,1.992089,3.901855
11.300000,1.992217,3.905879
11.400000,1.992677,3.909723
11.500000,1.993274,3.913415
11.600000,1.993816,3.916985
11.700000,1.994116,3.920459
11.800000,1.994352,3.923830
11.900000,1.994670,3.927078
12.000000,1.995249,3.930179
12.100000,1.995868,3.933141
12.200000,1.996282,3.935972
12.300000,1.996176,3.938680
12.400000,1.995877,3.941261
12.500000,1.995873,3.943718
12.600000,1.996259,3.946067
12.700000,1.996683,3.948337
12.800000,1.996819,3.950556
12.900000,1.996918,3.952710
13.000000,1.997285,3.954763
13.100000,1.997732,3.956716
13.200000,1.997829,3.958579
13.300000,1.997518,3.960359
13.400000,1.997361,3.962064
13.500000,1.997871,3.963713
13.600000,1.998268,3.965306
13.700000,1.998169,3.966834
13.800000,1.998159,3.968272
13.900000,1.998314,3.969621
14.000000,1.998233,3.970917
14.100000,1.998171,3.972172
14.200000,1.998497,3.973381
14.300000,1.998662,3.974533
14.400000,1.998413,3.975622
14.500000,1.998570,3.976680
14.600000,1.999015,3.977704
14.700000,1.998766,3.978653
14.800000,1.998672,3.979556
14.900000,1.998923,3.980436
15.000000,1.998874,3.981296
15.100000,1.998923,3.982109
15.200000,1.999003,3.982871
15.300000,1.999049,3.983604
15.400000,1.999088,3.984327
15.500000,1.999134,3.985002
15.600000,1.999169,3.985665
15.700000,1.999051,3.986612
15.800000,1.998986,3.987400
15.900000,1.998981,3.988025
16.000000,1.999029,3.988515
16.100000,1.999077,3.988978
16.200000,1.999123,3.989426
16.300000,1.999164,3.989864
16.400000,1.999204,3.990281
16.500000,1.999245,3.990673
16.600000,1.999284,3.991045
16.700000,1.999322,3.991403
16.800000,1.999355,3.991758
16.900000,1.999386,3.992101
17.000000,1.999415,3.992430
17.100000,1.999444,3.992741
17.200000,1.999472,3.993038
17.300000,1.999498,3.993323
17.400000,1.999523,3.993598
17.500000,1.999546,3.993869
17.600000,1.999566,3.994137
17.700000,1.999584,3.994403
17.800000,1.999600,3.994666
17.900000,1.999614,3.994921
18.000000,1.999628,3.995161
18.100000,1.999644,3.995379
18.200000,1.999661,3.995571
18.300000,1.999678,3.995754
18.400000,1.999694,3.995929
18.500000,1.999709,3.996098
18.600000,1.999723,3.996259
18.700000,1.999736,3.996415
18.800000,1.999749,3.996564
18.900000,1.999761,3.996708
19.000000,1.999773,3.996846
